idx,sentence,P,R,F1,status
567,तालवाद्य कलाकार तालाचे किचकटीचे नमुने सादर करतात आनी आपली कुशळटाय दाखयतात.,0.2,0.44,0.28,OK
568,परंपरीक धनुर्विद्येचो सराव आयज मुखेलपणान पयशिल्ले उत्तरेकडल्या लद्दाख आनी अरुणाचलाच्या राज्यांनी करतात.,,,,SKIP
569,"अलीश ही तुर्की भाशेंत मध्य आशियाई लोक कुस्ती शैली  खातीर वापरतात, तातूंत जॅकेट, ट्रावझर आनी दाट पटे घालप हांचो आस्पाव जाता.",0.12,0.32,0.17,OK
570,ताका पोर्ट आर्थर बंदखणींत आनीक चार वर्सां काडपाक लायलीं.,0.19,0.25,0.22,OK
571,मनशाचे नदरे पसून पयस आशिल्ल्या ह्या धबधब्यांक खोल उश्ण कटिबंधीय रानांतल्या एका पयसुल्ल्या सुवातेर आपलें ठिकाणाचें थळ मेळ्ळें.,,,,SKIP
572,'विस्वासू' आनी मागीर तुमच्या नांवाचो आस्पाव करपाक विसरूं नाकात.,0.21,0.16,0.18,OK
573,ग्रेट हॉलमेरेन उगडपी खूब व्हड गेटी लेगीत आशिल्ल्यो.,0.16,0.28,0.2,OK
574,"देखीक, तुमच्या व्यायामाची तीव्रता पळोवपा खातीर काळजाची गती निरिक्षण आशिल्लें मॉडेल तुमकां जाय आसतलें.",,,,SKIP
575,कळम  हेंच कारण  आनी कळम नाशिल्लो खिळो तोंपल्यार भिरांत नासता ही एक सादारणपणान चुकीची कल्पना .,,,,SKIP
576,ऑडीन विकत घेतल्या उपरांत तांणी तयार केल्लें हें पयलें इंजिन.,,,,SKIP
577,"2000 वर्सा, गेट्सान, आपले बायले वांगडा, द बिल अँड मेलिंडा गेट्स फावंडेशनाची थापणूक केली.",,,,SKIP
578,"मिलिब्लॉगाच्या कार्तिकान ह्या आल्बमाची तोखणाय करून ताका ""शंकर एहसान लॉयाच्या 2012 वर्साच्या कामगिरीची बेस बरी सुरवात"" अशें सांगलें.",,,,SKIP
579,तामिळनाडूच्या लोकांचो आनी राज्यकर्त्यांचो सुर्वेचो इतिहास हो तामिळ साहित्य स्रोतांतलो एक विशय आसून ताका संगम साहित्य म्हूण वळखतात.,,,,SKIP
580,तातूंत नव्या लुयिल्ल्या धानाचे तांदूळ दुदांत आनी उशिकांड्यांच्या रोसांत शिजयतात.,,,,SKIP
581,ताचे नॉकटन्स चडशे उजव्या हातावटेनचे जायते लांब स्वर आशिल्ले स्वरमेळ आसतात.,,,,SKIP
582,मालवाचो राजा यशोधर्मनान 528 त हूणांक हरयले आनी तांचो विस्तार सोंपयलो.,0.29,0.5,0.37,OK
583,"हे व्हाळ एकठांय येवन मुखेल तीस्ता न्हंय आनी तिची उपन्हंय ‘रंगीत’ तयार जातात, त्यो राज्याचे उत्तरेकडल्यान दक्षिणेक व्हांवतात.",,,,SKIP
584,"तें मातयेंत, चुन्यांत, प्लास्टरांत आनी वेळेवयल्या फातरांनी लेगीत आसूं येता.",0.18,0.39,0.25,OK
585,"2022 वर्सा मेरेन, रेज अगेन्स्ट द मशिना खातीर तो ड्रम वाजयता.",0.14,0.25,0.18,OK
586,"ल्हंवेच्या रसीकांनी फर्दर कन्फ्यूजनाच्या पांच दिसांनी (जानेवारी 18-22) रावपा खातीर 180,000 डॉलर्सां वयर मोडले, आनी कला पावणेंत आनीक 50,000 डॉलर्स खर्च केले.",,,,SKIP
587,"पयलो सेट जिखपी पक्षाक ""सेवा निवडप"" हो पर्याय आसपाक जाय.",0.08,0.15,0.11,OK
588,तूं खरेदी करपाची बंद करपाचो यत्न करता हें तांकां आदींच सांग आनी तांची मदत माग.,0.37,0.46,0.41,OK
589,"तुका खाशेलो सल्लो जाय जाल्यार (देखीक, वैजकी, कायदेशीर, अर्थीक वा जोखीम वेवस्थापन), उपकार करून त्या वाठारांत परवानो आशिल्ल्या वा गिन्यानी वेवसायीकाक सोदात.",,,,SKIP
590,किबोर्ड वापरपी आंकडे मारपाक शिफ्ट की वापरता.,,,,SKIP
591,हे घडणुकेक लागून होंडुरान पुलीसा भितरल्या भ्रश्टाचाराच्या प्रमाणाचेर लक्ष पडलें.,,,,SKIP
592,19 व्या शेंकड्यांत मॅजी पुनर्स्थापनेमेरेन जपानी सामान्य लोकांचीं आडनांवां नासतालीं.,0.19,0.32,0.24,OK
593,"केरळांतली क्रिकेट फ्रँचायझ, कोची टस्कर्स, इंडियन प्रिमियर लीगाच्या चवथ्या हंगामांत खेळ्ळी.",0.2,0.3,0.24,OK
594,"इंग्लंडांत बॅटलडोर आनी शटलकॉक ह्या नांवान वळखतात त्या पोरण्या भुरग्यांच्या खेळांतल्यान आर्विल्लो बॅडमिंटन खेळ तयार जाला, हो खेळ पुर्विल्ल्या भारतांत लोकप्रिय आशिल्लो.",,,,SKIP
595,"हे मनसल्लागार दर सप्तकांत तरणाट्यांचे सुमार 6,000 कॉल आयकतात.",0.1,0.25,0.14,OK
596,कॅमडन कावंटी हो थळाव्या आल्बेमार्ल आयोगाचो एक भाग.,0.14,0.29,0.19,OK
597,डब्ल्यूयूकेएफ दर देशांत एकापरस चड फेडरेशन वा संघटना मान्य करता.,0.18,0.3,0.22,OK
598,पॅनसिल्वेनिया विद्यापिठांतल्या एका मोहिमेन पुरायेन खणपाक सुरवात केली.,,,,SKIP
599,2017 वर्सा तो के लीग चॅलेंज क्लब बुसान आयपार्कांत गेलो.,0.33,0.45,0.38,OK
600,आजीविका नास्तिक आशिल्ले आनी तांणी वेदांचो अधिकार तशेंच बौध्द कल्पना न्हयकारल्यो.,,,,SKIP
601,"हेर आख्यायिकांनी लागसारचो एक कल्याणमंटप वा देवूळ, आतां ताची दुरुस्ती केल्या, थंय शिव आनी पार्वतीचें लग्न जाल्लें अशें म्हण्टात.",,,,SKIP
602,"हिंदी सिनेमा वांगडाच ताणें भोजपुरी, गुजराती, हरियाणवी, मराठी, पंजाबी, बंगाली आनी सिंधी ह्या चित्रपटांनीय अभिनय केला.",,,,SKIP
603,ताची सद्याची संचालक नामनेची नर्तकी माया राव.,0.09,0.2,0.13,OK
604,तिणें दिल्ली विद्यापीठांतल्यान उद्देगधंदो अभ्यासांतली पदवी घेतली.,0.21,0.35,0.26,OK
605,पावसाळ्यांत उटंगारांचो पावस पडल्यार जमीन कोसळपाचो धोको वाडटा.,,,,SKIP
606,"ती पद्मावतीचो भेस करून रतन सेना मुखार हाजीर रावली, पूण राजा फटवलो ना.",,,,SKIP
607,जोखीम पत्करपी मोगींनी धरणाचें उदक सोडटात तातुंल्यान आनंद घेवपाची एक आगळीच पद्दत सोदून काडल्या.,,,,SKIP
608,निद्रानाश स्वतंत्रपणान वा दुसऱ्या समस्याचें परिणाम म्हणून जावंक शकता.,,,,SKIP
609,"नेटवर्किंग कार्यावळीं खातीर लोकप्रिय उद्देगांत गुंतवणूक, सॉफ्टवेअर, प्रोग्रामिंग, जैवतंत्रज्ञान हांचो आस्पाव जाता.",,,,SKIP
610,ह्या सगळ्यांनी एकाच गीताक आवाज दिवपाचो घडये एकमेव वेळ आसतलो.,,,,SKIP
611,उत्तरेकडल्या सगळ्या जुंव्यांचे लोक अरबी मलयाळमा सारकें अरबी भाशेचो प्रभाव आशिल्ली मलयाळम भाशेची एक बोली उलयतात.,0.19,0.34,0.24,OK
612,"अर्थ, आनंद आनी उद्देश दिवपी नोकरी फकत पगार दिवपी नोकरे परस श्रेश्ठ आसता.",0.18,0.27,0.21,OK
613,"दुसरे कसोटींत गोल करपाक अपेस आयले उपरांत कलकत्ता हांगा जाल्ले तिसरे कसोटींत ताणें 107 आनी 182 नॉट आउट केल्ले, ही आनीक एक चड गूण मेळोवपी बरोबरी.",0.15,0.22,0.18,OK
614,"उपरांत तैमूर कापाड्जेन एकुणटिसाव्या मिण्टांचेर उझबेकिस्तानाक दोनांचेर व्हेलो, आनी हाफ टायमापयलीं उलुग्बेक बाकेवान पॅनल्टी किक मारून 3-0 स्कोर केलो.",,,,SKIP
615,हाका लागून मात ताच्या ज्ञानाच्या संशोधनाक आडमेळीं येवंक नाशिल्लीं कारण सांजवेळार सुशेग घेतना तो कोणाक तरी वाचपाक लायतालो अशें सदांच म्हणटात.,,,,SKIP
616,नळे आनी माळयेवेल्यान फुटिल्ले कुडके कोळसून पडिल्ल्यान चडशीं जखमी जाल्यांत.,0.03,0.15,0.05,OK
617,"दर एका मैफलीच्या शेवटाक मंगलम, उपकाराची प्रार्थना आनी संगीत कार्यावळीचो निमणो भाग सादर जाता.",,,,SKIP
618,12 मार्च 2016 ह्या दिसा जाल्ल्या संवसारीक सांस्कृतीक महोत्सवांत 1000 परस चड ओडिसी नर्तकांनी सादरीकरण केलें.,0.15,0.4,0.22,OK
619,गिमाळ्यांत पुराय उत्तर प्रदेशांत लू हें उश्ण वारें व्हांवता.,0.12,0.26,0.16,OK
620,ताणें एका बेबद्या शास्त्रीय नर्तकाचें चित्रण केल्ल्यान ताका पयलो नंदी पुरस्कार उत्कृश्ट अभिनेतो आनी दुसरो फिल्मफेअर उत्कृश्ट तेलुगू अभिनेतो पुरस्कार मेळ्ळो.,0.12,0.24,0.16,OK
621,फलंदाज बाद जायत रावले आनी तातूंत सचिन बाद जातकच प्रेक्षकांनी दंगल करून मैदानाचेर कोयर उडोवपाक सुरवात केल्या उपरांत मॅच रेफ्री क्लायव्ह लॉयडान श्रीलंका जिखले म्हण घोशित केलें.,,,,SKIP
622,"१६७५ त शीख फुडारी गुरू तेघ बहादुराक औरंगजेबाच्या आदेशावेल्यान अटक करून, एका कादीच्या राजदरबारान ताका ईश्वरनिंदा केल्या म्हण दोशी थारावन शिरच्छेद केलो.",0.26,0.28,0.27,OK
623,व्हल्याच्या फळ्याक ते ज्या क्लबाचे वांगडी आसात तांचो रंग मारतात.,,,,SKIP
624,"ताणें ह्या वर्साची निमाणी रिलीज तारकीब, नाना पाटेकार, तबू आनी शिल्पा शेट्टी हांचे वांगडा केली.",,,,SKIP
625,ताच्या आदल्या महाकूट स्तंभ कोरांतणेंत आपलो बापूय कीर्तिवर्मनान लेगीत गंगां ताब्यांत घेतिल्लें अशें मंगलेशान म्हळां.,,,,SKIP
626,यशस्वी वेवसाय मालकीतलो एक म्हत्वाचो भाग म्हळ्यार तुमच्या अहंकार कुशीक दवरप आनी मदत मागप.,,,,SKIP
627,धर्तरेच्या वातावरणाच्या वयल्या वाठारांचो सोद घेवपा खातीर तयार केल्ल्या ह्या रॉकेटाक ‘साउंडींग रॉकेट’ अशें म्हणटात.,0.12,0.22,0.15,OK
628,ह्या विभागांत कंपनीच्या घोशवाक्यां विशीं आनी ते ब्रँडाचो प्रचार करपाक कित्याक वावुरतात हाचे विशीं म्हायती आसूं येता.,,,,SKIP
629,"कुमार 1995 वर्सा विभागांतल्यान निवृत्त जालो. ते मेरेन, विविध समितींचें मार्गदर्शन आनी वांगडी जावन ताणें भारतीय विज्ञानाच्या अभ्यासक्रमाचेर म्हत्त्वपूर्ण प्रभाव घातलो, जंय ताणें कोणाकूय सकयल घालिनासतना तार्कीक आनी निर्विवाद दृश्टिकोनाच सक्त करपाची तांची खास शैली आपणायली.",,,,SKIP
630,"पूण हालींच मार्च 2013 वर्सा, मेघालय उच्च न्यायालय गुवाहाटी उच्च न्यायालयांतल्यान वेगळें केल्लें आनी आतां राज्यांत स्वताचें उच्च न्यायालय आसा.",,,,SKIP
631,तुमचीं बॅटरी परत परत चार्ज करपाक बॅटरी चार्जर गरजेचो आसता.,0.09,0.21,0.13,OK
632,फारीकणे खातीर तुजें क्रेडीट वा डेबिट कार्ड हाड.,0.15,0.24,0.18,OK
633,"कांय पतंग झुजारी, कायदेशीरपणान, आपलीं सुतां दळिल्लो कंवचेचो पिठो आनी गोमाच्या मिश्रणांत बुडोवन काडटात.",0.07,0.14,0.09,OK
634,1510 त पुर्तुगेजांनी बीजापूराचो सत्ताधारी सुलतान युसुफ आदिलशहाक तिमोजी ह्या खाजगी सांगात्याच्या आदारान हारयलो.,,,,SKIP
635,"ताची कृती म्हटल्यार थापटी/ताळी, ताचे फाटोफाट वीचू (तरंग) काडप.",0.09,0.14,0.11,OK
636,हो उत्सव देशभर मनयतात. सगळ्यांत भव्य उत्सव सदांच कोव्हिल मॉंटॅग्न हांगा जाता.,0.15,0.23,0.18,OK
637,"जळाराची लाळ मनशाचे कातींत वाशिनान तोंपली जाल्यार हो विशाणू एपिडर्मल कॅराटिनोसायट्स, त्वचेंतल्या कातीच्या फायब्रोब्लास्टांक आनी लॅंगरहॅन्स पेशींक संक्रमीत करूंक शकता.",,,,SKIP
638,"हिंदू धर्मीक श्रद्धांप्रमाण, शिवान आपल्या दैवी साथी पार्वतीक जिणेचें आनी अनंतकाळाचें गुपीत सांगिल्लें, तें हें थळ आसा.",,,,SKIP
639,ड्रायव्हिंग सिम्युलेटराचें प्रशिक्षण दिल्यार प्रशिक्षण घेतले उपरांत रस्त्याचीं चिन्नां वळखुपाक कामगिरींत सुदारणा जातली हाचे मर्यादीत पुरावे मेळ्ळ्यात.,0.03,0.09,0.05,OK
640,"निमाण्या दिसा कानुम पोंगल आसता, तामीळ भाशेंत कानुम म्हळ्यार ‘पळोवप’.",0.3,0.28,0.29,OK
641,"कितलेंय तरी, खंयच्या संतती मदें संबंदीत गूण आसात हें सोदतलो तर वेळ खर्च जाता.",,,,SKIP
642,हाका लागून इतिहासीक म्हायती खातीर तांचेर अवलंबून रावतना जतनाय घेवप गरजेचें थारता.,,,,SKIP
643,तुमी ज्या व्यक्तीक चेक बरयला ताका नवे बँक खातें तयार जावपाची वाट पळयनासतना पयशे रोख काडपाक वा जमा करपाक मेळटले.,,,,SKIP
644,"कांय दलाल-अर्थीक सल्लागार, जे ""शुल्क आदारीत"" अशी स्वताची जायरात दितात, तांगेल्या गिरायका कडल्यान शुल्क घेतात आनी विकतात त्या उत्पादनांतल्यान कमिशन मेळोवन दोनूय प्रकारांत बरो लाव (आपणांक) मेळयतात.",,,,SKIP
645,वेल्लोर आनी ताच्या लागसारच्या गांवांनी शेंकड्यांनी चामडें आनी चामोद्योगाचें कारखाने आसात.,,,,SKIP
646,"हें अदभूत प्रकारचें देवूळ आशिल्ल्यान, एकंदर अणभव रोमांचक आनी साहसी आसूं येता.",0.06,0.17,0.09,OK
647,पुजारी अथर्ववेदांतलो एक मंत्र म्हणटा.,0.33,0.42,0.37,OK
648,समाजीक कार्यकर्ते आनी पर्यावरणवादी खंयचेय परिस्थितीत धबधब्याचें आकर्शण परत मेळोवपाचेर आसात.,0.16,0.26,0.2,OK
649,"नेहरून १९३७ भारतीय प्रांतीय वेंचणुकेंत धर्मनिरपेक्ष राष्ट्र-राज्य हे कल्पनेक चालना दिली, ताका लागून काँग्रेसीक वेंचणूक पुरायपणान जिकपाक मेळ्ळी आनी जायत्या प्रांतांनी सरकारां घडोवंक मेळ्ळीं.",0.18,0.29,0.22,OK
650,आवृत्त्यो वेगवेगळ्यो आसात आनी जायते आर्विल्ले इतिहासकार एकंदर प्रामाणिकपणाच्या विस्ताराचेर प्रस्नचिन्न उबें करतात.,0.11,0.25,0.15,OK
651,"अशे तरेन बळगें मेळोवन, संभाजी प्रतापगड आनी घाटां भोंवतणचे कितलेशेच किल्ले घेवपाक फुडें सरलो.",,,,SKIP
652,"शीख धर्माचो धावो आनी निमाणो गुरू, गुरू गोबिंद सिंग हाचो जल्म 1666 वर्सा पाटणा जालो.",0.16,0.33,0.22,OK
653,दादा ह्या सिनेमांत एका कुख्यात गुंडाक सुदरपाची कुड्ड्या भुरग्याची भुमिका तिणें केल्ली.,,,,SKIP
654,"१२९६ त अलाउद्दीनान देवगिरीचेर आक्रमण केलें, आनी जलालुद्दीना आड यशस्वी बंड करपाखातीर लुटमार ताब्यांत घेतली.",0.24,0.44,0.31,OK
655,तशेंच आर.एस.पि.सि.ए. न पाळीव प्राण्यांच्या मालकांक पाळीव प्राण्यांक थंड दवरपाचो यत्न करचो म्हूण सांगलां.,0.15,0.23,0.18,OK
656,कादर मियाच्या अर्थीक अस्वातंत्र्याचें मोल म्हळ्यार ताचें मरण.,0.11,0.25,0.15,OK
657,फायनली उपरांत राजीशा विजयान आनीक एक खेळां चित्रपट घेवन परतून येता.,,,,SKIP
658,मेहरान सांताक्रूझच्या सेक्रेड हार्ट बॉयज हायस्कुलांत शाळेचें शिक्षण पुराय केलें आनी उपरांत मुंबयच्या सेंट झेवियर म्हाविद्यालयांतल्यान पदवी घेतली.,0.29,0.3,0.29,OK
659,"चडशा मुखेल किरकोळ विक्रेत्यांच्या वॅबसायटीचेर वचून तूं डिजिटल भेट कार्डां घेवपाक शकता, आनी मेळटलो मनीसय तीं ऑनलायन पळोवपाक शकता.",0.14,0.26,0.18,OK
660,भीम आनी राक्षस हांचे मदीं खर झूज जालें आनी दोनूय समान आशिल्ल्या झुजाऱ्यांनी एकामेकांचेर फातर आनी झाडां मोखलीं.,,,,SKIP
661,इतले मजगतीं अलाउद्दीनान पद्मावतीक मेळोवपा खातीर परत एक फावट चित्तोराचेर घुरी घाली.,0.2,0.33,0.25,OK
662,"तुवें कोणाक आमंत्रीत केला हें तुका पळोवपाचें आसल्यार ""व्यू रेफरल हिस्ट्री"" टॅप केल्या उपरांत तुका ती वळेरी पळोवंक मेळटली.",0.12,0.23,0.16,OK
663,मिरिक हें भारताच्या अस्तंत बंगाल राज्यांतल्या दार्जिलिंग जिल्ह्यांतलें एक ल्हान शार आनी अधिसुचीत क्षेत्र.,0.26,0.34,0.29,OK
664,बडा गांव जैन देवूळ उत्तर प्रदेशांतल्या बाघपाटांतल्या बडा गांवांतलें एक जैन देवूळ आसा.,0.29,0.44,0.35,OK
665,"भोजताल वा अपर लेक हाचे कुशीन, भोज ओलभूंय वाठार तयार जाता.",0.23,0.26,0.24,OK
666,"हें उदक मुळांतूच झरीचें उदक, दोंगुल्ल्यां वयल्यान वयर, लागसार एक प्रवाह म्हणून भितर येता.",0.04,0.04,0.04,OK
667,इंदिराक चड करून घरांत खाजगी शिक्षक शिकयताले आनी १९३४ त मॅट्रिक मेरेन ती मदीं मदीं शाळेंत वताली.,0.13,0.28,0.18,OK
668,अवशेशांची प्रदर्शना खातीर मांडणी करपाक स्थळा प्रमाण सुमार चार वरां लागूं येतात.,0.14,0.29,0.19,OK
669,भारताचे दक्षीण पूर्वेक आशिल्ल्या हिंद म्हासागरांतलो एक जुंवो श्रीलंकेंत दोन दिसाच्या उटंगाराच्या पावसाक लागून हुंवार आयलो.,,,,SKIP
670,ते वेगवेगळ्या रागांचो मेळ करून वर्ण आनी कृती शिकपाचे दिकेन व्हरतात.,,,,SKIP
671,उत्सवा वेळार एक माची कोसळ्ळी आनी प्रेक्षकां मदीं भिरांत निर्माण जाली.,0.13,0.29,0.18,OK
672,कब्बन उद्याना वांगडाच शारी पाचवी सुवात म्हूण हांगा जायत्या रानवटी जातींच्या सुकणीं आनी हेर रानवटी जनावरांचें घर आसा.,,,,SKIP
673,गांवच्या मुखेल चौकांत सुर्यास्त जातना होमखण पेटयतात.,,,,SKIP
674,ह्या न्हयकाराक लागून अकबरान एक औपचारीक फर्मान जारी करून शहजादा सलीम हाका प्रस्तावीत मोहिमेच्या हुकुमाचेर नेमणूक करपाक सुरवात केली.,0.26,0.35,0.3,OK
675,बहादुराक विरोध करपी पंगड वाटेर एकठांय करून शहा 17 जून 1710 दिसा अजमेर सोडून पंजाबाक गेलो.,0.3,0.47,0.36,OK
676,गुप्तान आपले कंपनी खातीर पुस्तक कव्हर डिझायन तयार करपाक रे हाका सांगलें आनी ताका पुराय कलात्मक स्वातंत्र्य दिलें.,,,,SKIP
677,भारत हें आर्विल्ल्या पोलोचें पाळणें अशें मानतात.,0.15,0.38,0.21,OK
678,तुमी नकळो आशिल्ले अशें कितें तरी तांणी पोश्ट केल्लें आसुं येता.,0.09,0.31,0.13,OK
679,तमिळ शब्दकोशांत चोळ म्हळ्यार पांड्या वा पोरन्या देशाच्या फांटभूयेर तयार जाल्लें नवें राज्य दाखोवपी सोळी वा साई.,,,,SKIP
680,भारतीय राजांच्या शेकातळा आशिल्ल्या राज्यांतल्या लोकांच्या कश्टांची जाणविकाय जावपी पयल्या कांय राश्ट्रवाादी फुडाऱ्यांमदलो नेहरू हो एक.,0.22,0.37,0.27,OK
681,बाजारांत तुमच्या उत्पादाची म्हायती पावोवपाक तुमी मोख दवरिल्ल्या आयकुप्यांक कशें आवाहन करतले हाचें वर्णन करात.,,,,SKIP
682,"जम्मू-काश्मीर, हिमाचल प्रदेश, उत्तराखंड, सिक्किम आनी अरुणाचल प्रदेशांत हिमस्खलन जाता.",0.36,0.51,0.42,OK
683,"घडये तुमी खरेदी करपाक आवडटा अशे प्रकारचे न्हय, वा वर्सभर नाताळाच्यो भेटवस्तू ब्राउझ करपाक तुमकां वेळ ना.",,,,SKIP
684,बच्चन हाचो जल्म 11 ऑक्टोबर 1942 दिसा अलाहाबाद हांगा जालो.,,,,SKIP
685,तिचो जलमार्ग जिल्ह्याच्या उत्तर भागांतल्यान जाता.,0.12,0.17,0.14,OK
686,2022 वर्सा प्रदर्शीत जावपाचें आशिल्ल्या त्रिशा स्टारर फिल्म ‘रांगी’ ह्या सिनेमान अनसवारान तमिळ चित्रपट उद्देगांत प्रवेश केलो.,,,,SKIP
687,जायते वैयक्तीक खरेदीदार दर वराक शुल्क घेवन काम करतात कारण तांकां जायत्या दुकानांनी वचपाची गरज आसता जाका लागून कांय वेळ लागूं येता.,0.11,0.19,0.14,OK
688,भोंसले हो 2020 वर्साचो भारतीय हिंदी भाशेचो चित्रपट देवशीष माखीजान बरोवन दिग्दर्शीत केला आनी पियूष सिंगान ताची सह-निर्मिती केल्या.,,,,SKIP
689,त्याच वर्सा इस्टर आयलँडार 51 केशी जाल्यो.,0.16,0.19,0.17,OK
690,"1988 सावन ऑलिंपिक खेळ आनी 2002 सावन राष्ट्रकुल खेळां सयत, एकोडे आनी दोट्टी अशे दोनूय खेळ आंतरराश्ट्रीय सर्तिंनी खेळटात.",,,,SKIP
691,नाटकविशिश्ट वेशभूशेचेय उपेग सत्तरीया नृत्यांत दिसतात.,0.21,0.22,0.22,OK
692,डिजायन तपशील म्हळ्यार स्पर्धात्मक घटकां मदली तडजोड.,0.11,0.25,0.15,OK
693,"एसईसीएल, अदानी, जिंदल ह्यो मुखेल कोळशाच्यो कंपन्यो, ईशान्य छत्तीसगडभर जायत्यो कोळसो खणी चलयतात.",,,,SKIP
694,"रोखडेच हैदर अलीन ताच्या गॅरिसनांतल्या ३,००० मनशांवागडा, मकदुम अलीच्या सुमार ६,००० सैन्या आड बेंगळूरच्या सेरिंगापटाम वटेन आगेकुच केली.",0.23,0.32,0.27,OK
695,"अवनी आदीक घरांतलीं सगळीं कामां करूंक लायता, जाका लागून ताका खूब त्रास जातात.",0.25,0.35,0.29,OK
696,"शिंपणावळ प्रकल्पांखातीर वापरिल्ले धरण वीज आनी येरादारी सुविधा निर्माण करपाक मदत करतात, तशेंच वाडट्या लोकसंख्येक पिवपाच्या उदकाची पुरवण करपाक, हुंवार नियंत्रीत करपाक आनी दुकळ आडावपाक मदत करतात.",,,,SKIP
697,"हालींच स्थापन केल्ल्या काजीरंगा नॅशनल ऑर्किड आनी बायोडायव्हर्सिटी पार्कांत, भारतांत मेळपी अदमास 1,314 ऑर्किड जातीं मदल्यो 500 परस चड ऑर्किड जाती आसात.",0.11,0.25,0.15,OK
698,कलाकार जेन्ना केन्ना सर्जनशीलताय दाखयता तेन्ना श्रोते ताळयो मारून पावती दितात.,0.06,0.15,0.09,OK
699,कॅरिबियन स्पिनरांचेर भारतीयांनी वळोवपी ट्रॅकाचेर प्रभुत्व मेळयिल्ल्यान अस्तंत भारतीय कर्णधार क्लायव्ह लॉयडानान फुडल्या कसोटी सर्तींत फकत गतीचेर आदारून रावपाची प्रतिज्ञा केली अशें सांगतात.,0.19,0.24,0.21,OK
700,म्हैसूरचो तरणाटो राजा कृष्णराज वोडेयार दुसरो हाणें हैदर अलीच्या ह्या कामगिरीचें इनाम दिवन ताका फाथ हैदरबहादुर वा नवाब हैदर अलीखान ही पदवी दिली.,0.2,0.31,0.25,OK
701,"अशोक, कलिंगाच्या झुजा उपरांत रगतपाताक लागून अस्वस्थ जालो आनी ताणें परत केन्नाच झगडचें ना अशें प्रतिज्ञा घेतली.",,,,SKIP
702,ताका वैजकी पर्यटनाचो एक प्रकार म्हूण मानूं येता.,0.12,0.23,0.16,OK
703,पृथ्वीराज हाणें चंदेल राज्याचेर घुरी घालून उदलाचो मामेभाव मलखान हाचेकडेन आशिल्ल्या सिरसागराचेर घेराव घालो.,,,,SKIP
704,"अशोकाची आवय चंपातल्या ब्राह्मणाची धूव आशिल्ली, आनी तिचे लग्न राजाकडेन जातले म्हण पारखिल्लें अशें अशोकवादनांत म्हळां.",,,,SKIP
705,"ऑक्टोबर १९१६ त ताणें ग्रेज इन हांगा बार अभ्यासक्रमांत आपलें नांव नोंद केलें, आनी त्याच वेळार लंडन स्कूल ऑफ इकोनॉमिक्सांत लेगीत नांव नोंद केलें आनी थंय ताणें डॉक्टरेट प्रबंधाचेर काम करपाक सुरवात केली.",,,,SKIP
706,"अमेरिकी लोक आपले येणावळीपरस चड खर्च करतात, ताका लागून महामंदी उपरांत पळोवंक नाशिल्लो इतलो राष्ट्रीय बचत दर उणो जायत चल्ला.",,,,SKIP
707,"अय्यानार धबधबो भारताच्या तमिळनाडू राज्यांतल्या विरुधुनगर जिल्ल्यांत राजापालयम, शार आनी नगरपालिका हांचे ७ किमी अस्तंतेक आसा.",0.4,0.38,0.39,OK
708,1999 वर्सा स्प्रेगान परत चॅम्पियनशिप जिखली पूण 2000 वर्सा तो पांचव्या क्रमांकाचेर शेंवटलो.,,,,SKIP
709,"सामान्यपणान किला गेट ह्या नांवान वळखतात तो हाथरस किल्लो हो एक लोकप्रिय पर्यटन थळ, पूण तो उत्तर प्रदेशांत पर्यटन थळ म्हणून नोंदिल्लो ना.",0.11,0.22,0.14,OK
710,ताणें कितलेशेच दशक एनिमेशनांत काम केलें आनी ताच्या वावराक लागून जायते पुरस्कार फावो जाले.,0.09,0.2,0.12,OK
711,"तुमच्या लागींच्या वाठारांत अशी अणभव भेट मेळना जाल्यार, चड पर्यायां खातीर ऑनलायन तपासात.",,,,SKIP
712,तांकां अजुनय कित्याक तें समजूंक ना पूण उतरांचो अर्थ समज नासतना फकत आमी म्हणटात ताचें तें अनुकरण करतात.,,,,SKIP
713,वकिली करपाचो परवानो आशिल्लो तुमच्या राज्यांतलो अणभवी वकील तुमचे हे प्रस्न सोडोवपाक मजत करपाक शकता.,,,,SKIP
714,खऱ्या विरोधकां वांगडा निदर्शनांत लागू केल्यार अर्जांक बुंकाई अशें म्हणटात.,0.09,0.18,0.12,OK
715,60 अमेरिकी डॉलरांत अतिरिक्त वांगडी जोडपाक आनी तें परतून विक्री करपा वांगडाच तुका 2 टक्के वर्सुकी सवलतूय मेळटा.,,,,SKIP
716,"पॅरालिंपीक गोळीबार, जाका ""धनुर्विद्या पॅरा स्पोर्ट"" अशेंय म्हणटात, हें अपंगत्व आशिल्ल्या सर्तकांक गोळीबार खेळांचें रुपांतर आसा.",,,,SKIP
717,काश्मीर आनी बल्तिस्तानाक आदींच आपल्या शेकातळा हाडपी मुगलांनी लडाखाचो पराभव केलो तरी लडाखान आपलें स्वातंत्र्य तिगोवन दवरलें.,,,,SKIP
718,फकत तुमची वळख आशिल्ल्या वैध किरकोळ विक्रेत्या कडल्यान आनी दुकानांतल्यान खरेदी करात.,,,,SKIP
